"callsign","adep","ades","actualLandingTime"
"CEB759","RPLL","WIII","2024-06-09T16:23:43.000Z"
"BTK7158","WSSS","WIII","2024-06-09T15:39:24.000Z"
"PAS105","WADD","WIII","2024-06-09T14:49:25.000Z"
"CTV421","WALL","WIII","2024-06-09T15:36:44.000Z"
"MXD318","WMKK","WIII","2024-06-09T16:44:15.000Z"
"AWQ257","VTBD","WIII","2024-06-16T14:27:49.000Z"
"CTV421","WALL","WIII","2024-06-16T14:54:26.000Z"
"UAE358","OMDB","WIII","2024-06-16T15:22:58.000Z"
"OEY203","WAOO","WIII","2024-06-16T15:29:32.000Z"
"CTV9721","WARR","WIII","2024-06-16T15:26:52.000Z"
"JSA205","WSSS","WIII","2024-06-16T14:59:01.000Z"
"GIA899","ZGGG","WIII","2024-06-16T15:03:56.000Z"
"CDG2153","ZSAM","WIII","2024-06-16T16:15:43.000Z"
"CCA475","ZUTF","WIII","2024-06-16T14:06:58.000Z"
"GIA863","VHHH","WIII","2024-06-16T14:19:20.000Z"
"ANA835","RJAA","WIII","2024-06-16T16:02:23.000Z"
"AWQ209","WMKK","WIII","2024-06-16T15:34:55.000Z"
"CPA797","VHHH","WIII","2024-06-16T15:52:15.000Z"
"AWQ213","WMKK","WIII","2024-06-16T16:27:17.000Z"
"CXA867","ZSAM","WIII","2024-06-16T16:08:57.000Z"
"CES5069","ZSPD","WIII","2024-06-16T16:32:18.000Z"
"BTK7170","WMKP","WIII","2024-06-16T14:30:29.000Z"
"PAL535","RPLL","WIII","2024-06-16T16:46:58.000Z"
"CSN8353","ZGSZ","WIII","2024-06-16T15:54:45.000Z"
"MXD318","WMKK","WIII","2024-06-16T15:37:22.000Z"
"BTK7630","VTBD","WIII","2024-06-16T14:50:26.000Z"
"CSN387","ZGGG","WIII","2024-06-16T15:59:11.000Z"
"CTV527","WSSS","WIII","2024-06-16T14:41:35.000Z"
"CEB759","RPLL","WIII","2024-06-16T16:39:08.000Z"
"GIA425","WADD","WIII","2024-06-16T14:01:41.000Z"
"SIA968","WSSS","WIII","2024-06-16T15:09:06.000Z"
"AWQ901","WADD","WIII","2024-06-16T14:07:33.000Z"
"BTK7152","WSSS","WIII","2024-06-16T14:56:34.000Z"
"PKECA","WATT","WIII","2024-06-16T14:25:57.000Z"
"BTK7158","WSSS","WIII","2024-06-16T15:46:07.000Z"
"SJV915","WIBB","WIII","2024-06-16T15:05:03.000Z"
"LNI211","WIMM","WIII","2024-06-16T14:32:18.000Z"
"SJV905","WIEE","WIII","2024-06-16T16:25:03.000Z"
"SJV907","WIEE","WIII","2024-06-16T15:50:07.000Z"
"CTV1122","WIHH","WIII","2024-06-16T15:12:41.000Z"
"BTK6253","WALL","WIII","2024-06-23T14:06:49.000Z"
"CTV421","WALL","WIII","2024-06-23T14:43:59.000Z"
"GIA193","WIMM","WIII","2024-06-23T14:48:28.000Z"
"CTV719","WARR","WIII","2024-06-23T14:20:09.000Z"
"CTV979","WIMM","WIII","2024-06-23T14:10:45.000Z"
"CTV889","WIPP","WIII","2024-06-23T14:40:09.000Z"
"GIA613","WAAA","WIII","2024-06-23T15:42:36.000Z"
"CTV427","WAAA","WIII","2024-06-23T16:08:05.000Z"
"GIA325","WARR","WIII","2024-06-23T14:30:48.000Z"
"GIA313","WARR","WIII","2024-06-23T14:52:05.000Z"
"CTV915","WIMM","WIII","2024-06-23T16:58:55.000Z"
"TNU680","WMKK","WIII","2024-06-23T14:15:11.000Z"
"AWQ817","WADD","WIII","2024-06-23T15:46:16.000Z"
"CTV349","WAAA","WIII","2024-06-23T16:23:27.000Z"
"CTV691","WADD","WIII","2024-06-23T15:07:24.000Z"
"SJV889","WIMM","WIII","2024-06-23T16:05:45.000Z"
"BTK6575","WARR","WIII","2024-06-23T15:27:40.000Z"
"LNI383","WIMM","WIII","2024-06-23T15:33:00.000Z"
"BTK6573","WARR","WIII","2024-06-23T14:34:07.000Z"
"BTK6371","WAHI","WIII","2024-06-23T14:24:44.000Z"
"SVA826","OEMA","WIII","2024-06-23T16:36:41.000Z"
"LNI703","WAAA","WIII","2024-06-23T14:17:22.000Z"
"SJV737","WADD","WIII","2024-06-23T14:24:37.000Z"
"SJV755","WADD","WIII","2024-06-23T14:43:20.000Z"
"SJV749","WADD","WIII","2024-06-23T16:56:15.000Z"
"SJV747","WADD","WIII","2024-06-23T15:49:16.000Z"
"SVA5164","OEJN","WIII","2024-06-23T15:08:21.000Z"
"BTK6511","WADD","WIII","2024-06-23T16:30:26.000Z"
"SJV873","WIPP","WIII","2024-06-23T14:56:50.000Z"
"BTK6211","WAOO","WIII","2024-06-23T15:30:20.000Z"
"SJV875","WIPP","WIII","2024-06-23T15:19:11.000Z"
"UAE358","OMDB","WIII","2024-06-23T15:29:41.000Z"
"AWQ257","VTBD","WIII","2024-06-23T14:59:20.000Z"
"SJV767","WADL","WIII","2024-06-23T14:56:40.000Z"
"QTR954","OTHH","WIII","2024-06-23T14:37:10.000Z"
"JSA205","WSSS","WIII","2024-06-23T14:59:14.000Z"
"CES5069","ZSPD","WIII","2024-06-23T16:02:32.000Z"
"CCA475","ZUTF","WIII","2024-06-23T14:02:42.000Z"
"BTK6297","WAAA","WIII","2024-06-23T15:52:12.000Z"
"CPA797","VHHH","WIII","2024-06-23T16:14:52.000Z"
"CXA867","ZSAM","WIII","2024-06-23T15:05:29.000Z"
"CTV527","WSSS","WIII","2024-06-23T14:53:22.000Z"
"BTK8369","WAHQ","WIII","2024-06-23T14:11:40.000Z"
"BTK7630","VTBD","WIII","2024-06-23T15:23:14.000Z"
"CTV9721","WARR","WIII","2024-06-23T15:32:50.000Z"
"GIA863","VHHH","WIII","2024-06-23T14:19:27.000Z"
"CSN8353","ZGSZ","WIII","2024-06-23T16:26:52.000Z"
"ANA835","RJAA","WIII","2024-06-23T16:11:43.000Z"
"PAS203","WARR","WIII","2024-06-23T14:09:09.000Z"
"CSN387","ZGGG","WIII","2024-06-23T16:20:18.000Z"
"PAL535","RPLL","WIII","2024-06-23T16:51:01.000Z"
"AWQ209","WMKK","WIII","2024-06-23T16:01:51.000Z"
"AWQ213","WMKK","WIII","2024-06-23T16:39:50.000Z"
"GIA425","WADD","WIII","2024-06-23T14:46:39.000Z"
"OEY311","WAWW","WIII","2024-06-23T14:06:10.000Z"
"GIA417","WADD","WIII","2024-06-23T14:02:49.000Z"
"BTK7152","WSSS","WIII","2024-06-23T15:03:17.000Z"
"MXD318","WMKK","WIII","2024-06-23T15:46:52.000Z"
"BTK7150","WSSS","WIII","2024-06-23T15:13:09.000Z"
"SJV905","WIEE","WIII","2024-06-23T15:16:09.000Z"
"SIA968","WSSS","WIII","2024-06-23T15:27:40.000Z"
"CEB759","RPLL","WIII","2024-06-23T16:33:38.000Z"
"PKECA","WATT","WIII","2024-06-23T14:36:50.000Z"
"BTK7158","WSSS","WIII","2024-06-23T15:50:32.000Z"
"SJV915","WIBB","WIII","2024-06-23T14:50:52.000Z"
"SJV853","WIDD","WIII","2024-06-23T15:59:52.000Z"
"PAS105","WADD","WIII","2024-06-23T15:04:21.000Z"
"BTK6253","WALL","WIII","2024-06-30T14:15:28.000Z"
"LNI673","WALL","WIII","2024-06-30T16:21:56.000Z"
"BTK6727","WAWW","WIII","2024-06-30T14:06:12.000Z"
"CTV421","WALL","WIII","2024-06-30T15:15:03.000Z"
"GIA313","WARR","WIII","2024-06-30T14:27:13.000Z"
"CTV719","WARR","WIII","2024-06-30T14:24:49.000Z"
"CTV917","WIMM","WIII","2024-06-30T14:19:38.000Z"
"CTV979","WIMM","WIII","2024-06-30T14:34:56.000Z"
"CTV889","WIPP","WIII","2024-06-30T14:55:13.000Z"
"CTV427","WAAA","WIII","2024-06-30T15:41:36.000Z"
"GIA193","WIMM","WIII","2024-06-30T15:53:21.000Z"
"LNI777","WAAA","WIII","2024-06-30T14:12:36.000Z"
"LNI703","WAAA","WIII","2024-06-30T15:08:29.000Z"
"BTK6231","WAAA","WIII","2024-06-30T15:05:46.000Z"
"SVA826","OEMA","WIII","2024-06-30T16:09:37.000Z"
"TNU680","WMKK","WIII","2024-06-30T14:52:52.000Z"
"AWQ817","WADD","WIII","2024-06-30T15:55:38.000Z"
"CTV349","WAAA","WIII","2024-06-30T16:50:25.000Z"
"CTV691","WADD","WIII","2024-06-30T15:17:56.000Z"
"SJY599","WAAA","WIII","2024-06-30T14:46:40.000Z"
"BTK6587","WARR","WIII","2024-06-30T14:17:43.000Z"
"BTK6575","WARR","WIII","2024-06-30T14:09:14.000Z"
"LNI383","WIMM","WIII","2024-06-30T15:04:29.000Z"
"BTK6371","WAHI","WIII","2024-06-30T14:02:25.000Z"
"QTR954","OTHH","WIII","2024-06-30T14:26:34.000Z"
"SJV699","WIOO","WIII","2024-06-30T14:44:20.000Z"
"SVA5160","OEJN","WIII","2024-06-30T14:28:52.000Z"
"SJV747","WADD","WIII","2024-06-30T14:49:33.000Z"
"SJV755","WADD","WIII","2024-06-30T14:40:32.000Z"
"SJV767","WADL","WIII","2024-06-30T14:30:15.000Z"
"BTK6511","WADD","WIII","2024-06-30T14:22:12.000Z"
"KAL627","RKSI","WIII","2024-06-30T14:09:33.000Z"
"OEY211","WALL","WIII","2024-06-30T15:22:37.000Z"
"JSA205","WSSS","WIII","2024-06-30T14:12:16.000Z"
"AWQ257","VTBD","WIII","2024-06-30T15:16:36.000Z"
"UAE358","OMDB","WIII","2024-06-30T16:04:39.000Z"
"CES5069","ZSPD","WIII","2024-06-30T15:23:45.000Z"
"OEY203","WAOO","WIII","2024-06-30T15:08:26.000Z"
"CCA475","ZUTF","WIII","2024-06-30T15:02:34.000Z"
"GIA863","VHHH","WIII","2024-06-30T14:37:21.000Z"
"CTV527","WSSS","WIII","2024-06-30T14:46:53.000Z"
"CPA797","VHHH","WIII","2024-06-30T15:27:32.000Z"
"CXA867","ZSAM","WIII","2024-06-30T15:38:34.000Z"
"AWQ209","WMKK","WIII","2024-06-30T15:31:25.000Z"
"CTV9917","WIMM","WIII","2024-06-30T14:52:20.000Z"
"BTK6297","WAAA","WIII","2024-06-30T15:02:05.000Z"
"ANA835","RJAA","WIII","2024-06-30T16:01:33.000Z"
"BTK7630","VTBD","WIII","2024-06-30T15:50:28.000Z"
"BTK7170","WMKP","WIII","2024-06-30T14:05:30.000Z"
"PAL535","RPLL","WIII","2024-06-30T16:45:08.000Z"
"CSN8353","ZGSZ","WIII","2024-06-30T16:52:55.000Z"
"CSN387","ZGGG","WIII","2024-06-30T16:15:00.000Z"
"AWQ213","WMKK","WIII","2024-06-30T16:56:46.000Z"
"CEB759","RPLL","WIII","2024-06-30T16:34:05.000Z"
"BTK7152","WSSS","WIII","2024-06-30T14:58:24.000Z"
"GIA425","WADD","WIII","2024-06-30T15:12:20.000Z"
"BTK7158","WSSS","WIII","2024-06-30T16:36:36.000Z"
"OEY317","WAWW","WIII","2024-06-30T14:56:33.000Z"
"SIA968","WSSS","WIII","2024-06-30T15:44:29.000Z"
